element_code,element_name,disseminated,calculated,lta,pr
4526,Area equipped for irrigation by direct use of agricultural drainage water,D,V,0,0
4527,% of area equipped for irrigation by direct use of agricultural drainage water,D,C,0,0
4530,Produced industrial wastewater,I,V,0,0
4531,Industrial water withdrawal per capita,I,C,0,0
4532,Agricultural water withdrawal per capita,I,C,0,0
4533,Area equipped by direct use of treated municipal wastewater,D,C,0,0
4534,Area equipped by direct use of not treated municipal wastewater,D,C,0,0
4535,Direct use of treated municipal wastewater,D,C,0,0
4536,Overlap: between surface water and groundwater,D,C,1,0
4537,Gender Inequality Index (GII),D,V,0,0
4538,% of economically active population active in agriculture,I,C,0,0
4539,Area equipped for irrigation by desalinated water,D,V,0,0
4540,% of area equipped for irrigation by desalinated water,D,C,0,0
4541,Interannual variability (WRI),D,V,0,0
4542,Seasonal variability (WRI),D,V,0,0
4543,Flood occurrence (WRI),D,V,0,0
4544,% of the area equipped for irrigation managed by women,D,V,0,0
4545,% of the agricultural holdings with irrigation managed by women,D,V,0,0
4546,"Industry, value added to GDP",I,V,0,0
4547,"Services, value added to GDP",I,V,0,0
4548,"Agriculture, value added to GDP",I,V,0,0
4549,Environmental Flow Requirements,D,V,1,0
4550,SDG 6.4.2. Water Stress,D,C,0,0
4551,SDG 6.4.1. Water Use Efficiency,I,C,0,0
4552,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,I,C,0,0
4553,SDG 6.4.1. Industrial Water Use Efficiency,I,C,0,0
4554,SDG 6.4.1. Services Water Use Efficiency,I,C,0,0
4555,% of agricultural GVA produced by irrigated agriculture,I,C,0,0
4556,% of arable land irrigated,I,C,0,0
4557,Ratio between rainfed and irrigated yields,I,V,0,0
4558,GDP deflator (2015),I,C,0,0
4559,Land area,I,V,0,0
4560,Inland waterd,I,V,0,0
