lement_code,element_name,disseminated,calculated,Source,source
4375,Harvested irrigated permanent crop area: Coconuts,D,V,A,AQUASTAT
4376,Harvested irrigated temporary crop area: Flowers,D,V,A,AQUASTAT
4377,Harvested irrigated temporary crop area: Other crops,D,V,A,AQUASTAT
4378,Harvested irrigated permanent crop area: Other crops,D,V,A,AQUASTAT
4379,Total harvested irrigated crop area (full control irrigation),D,V,A,AQUASTAT
4400,Area salinized by irrigation,D,V,A,AQUASTAT
4401,Area waterlogged by irrigation,D,V,A,AQUASTAT
4403,Population affected by water related disease,D,V,A,AQUASTAT
4410,Irrigated crop yield: Wheat,I,V,A,AQUASTAT
4411,Irrigated crop yield: Rice,I,V,A,AQUASTAT
4412,Irrigated crop yield: Barley,I,V,A,AQUASTAT
4413,Irrigated crop yield: Maize,I,V,A,AQUASTAT
4414,Irrigated crop yield: Millet,I,V,A,AQUASTAT
4415,Irrigated crop yield: Sorghum,I,V,A,AQUASTAT
4416,Irrigated crop yield: Other cereals,I,V,A,AQUASTAT
4417,Irrigated crop yield: Potatoes,I,V,A,AQUASTAT
4418,Irrigated crop yield: Sweet potatoes,I,V,A,AQUASTAT
4419,Irrigated crop yield: Cassava,I,V,A,AQUASTAT
4420,Irrigated crop yield: Other roots and tubers,I,V,A,AQUASTAT
4421,Irrigated crop yield: Plantain,I,V,A,AQUASTAT
4422,Irrigated crop yield: Sugar cane,I,V,A,AQUASTAT
4423,Irrigated crop yield: Sugar beet,I,V,A,AQUASTAT
4424,Irrigated crop yield: Pulses,I,V,A,AQUASTAT
4425,Irrigated crop yield: Vegetables,I,V,A,AQUASTAT
4426,Irrigated crop yield: Bananas,I,V,A,AQUASTAT
4427,Irrigated crop yield: Citrus,I,V,A,AQUASTAT
4428,Irrigated crop yield: Cocoa beans,I,V,A,AQUASTAT
4429,Irrigated crop yield: Coffee,I,V,A,AQUASTAT
4430,Irrigated crop yield: Tea,I,V,A,AQUASTAT
4431,Irrigated crop yield: Tobacco,I,V,A,AQUASTAT
4432,Irrigated crop yield: Cotton,I,V,A,AQUASTAT
4433,Irrigated crop yield: Rubber,I,V,A,AQUASTAT
4434,Irrigated crop yield: Fodder,I,V,A,AQUASTAT
4435,Irrigated crop yield: Oil palm,I,V,A,AQUASTAT
4436,Irrigated crop yield: Soybeans,I,V,A,AQUASTAT
